customer_id,first_purchase_date,last_purchase_date,recency_days,frequency,monetary_value,unique_products,active_months,avg_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_label,churn_status
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,326,12,77556.46,27,5,6463.038333333334,400,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,2,8,5633.32,126,8,704.165,402,5,4,5,545,Champions,0,Active
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,75,5,2019.4,25,5,403.88,362,3,4,4,344,Loyal Customers,0,Active
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,19,4,4428.69,138,4,1107.1725,570,5,3,5,535,Potential Loyalists,0,Active
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,310,1,334.4,17,1,334.4,0,2,1,2,212,Hibernating / Lost,1,Inactive / Churn Risk
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,375,1,300.93,21,1,300.93,0,2,1,2,212,Hibernating / Lost,1,Inactive / Churn Risk
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,36,10,2849.84,70,5,284.98400000000004,356,4,5,4,454,Champions,0,Active
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,204,2,406.76,23,2,203.38,204,2,2,2,222,Hibernating / Lost,1,Inactive / Churn Risk
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1,1079.4,58,1,1079.4,0,2,1,3,213,At Risk,1,Inactive / Churn Risk
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,214,2,947.61,35,2,473.805,353,2,2,3,223,At Risk,1,Inactive / Churn Risk
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,23,6,6373.68,104,5,1062.28,401,4,4,5,445,Champions,0,Active
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,33,3,18287.66,261,2,6095.886666666666,355,4,3,5,435,Potential Loyalists,0,Active
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,2,5,3887.07,56,5,777.414,730,5,4,5,545,Champions,0,Active
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,58,10,8935.94,305,8,893.594,676,4,5,5,455,Champions,0,Active
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,52,8,4252.89,160,7,531.61125,603,4,4,5,445,Champions,0,Active
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,287,4,511.25,18,4,127.8125,394,2,3,2,232,At Risk,1,Inactive / Churn Risk
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,3,11,5356.23,201,9,486.92999999999995,735,5,5,5,555,Champions,0,Active
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,110,2,552.0,23,2,276.0,132,3,2,2,322,Potential Loyalists,1,Inactive / Churn Risk
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,8,4,1313.1,70,4,328.275,104,5,3,4,534,Potential Loyalists,0,Active
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,291,2,641.38,22,1,320.69,0,2,2,3,223,At Risk,1,Inactive / Churn Risk
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,634,1,500.24,3,1,500.24,0,1,1,2,112,Hibernating / Lost,1,Inactive / Churn Risk
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,4,1,168.9,11,1,168.9,0,5,1,1,511,New / Promising,0,Active
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,628,1,917.6999999999999,18,1,917.6999999999999,0,1,1,3,113,At Risk,1,Inactive / Churn Risk
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,413,3,1791.15,90,3,597.0500000000001,228,1,3,4,134,At Risk,1,Inactive / Churn Risk
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,51,7,4320.31,168,5,617.1871428571429,617,4,4,5,445,Champions,0,Active
