customer_id,first_purchase_date,last_purchase_date,recency_days,frequency,monetary_value,unique_products,active_months,avg_order_value,customer_lifetime_days,r_score,f_score,m_score,rfm_score,customer_segment,churn_risk_label,churn_status
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,326,12,77556.46,27,5,6463.038333333334,400,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
16754,2010-03-08 11:32:00,2010-12-02 17:38:00,372,29,67502.47,38,9,2327.671379310345,269,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
17850,2009-12-05 12:28:00,2010-12-02 15:27:00,372,155,56600.08,100,8,365.1618064516129,362,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
13093,2009-12-04 10:32:00,2011-03-09 12:14:00,276,55,54943.65,199,16,998.9754545454546,460,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
15749,2011-01-11 12:55:00,2011-04-18 13:20:00,235,3,44534.3,5,2,14844.766666666668,97,2,3,5,235,At Risk,1,Inactive / Churn Risk
15098,2011-06-10 15:22:00,2011-06-10 15:33:00,182,3,39916.5,1,1,13305.5,0,3,3,5,335,Need Attention,1,Inactive / Churn Risk
13902,2009-12-15 10:02:00,2010-03-17 13:09:00,632,5,34095.26,58,4,6819.052000000001,92,1,4,5,145,Cannot Lose Them,1,Inactive / Churn Risk
13802,2010-02-16 10:11:00,2011-07-24 10:54:00,139,19,26259.11,212,13,1382.0584210526315,523,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,576,29,23691.4,42,3,816.944827586207,77,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
14063,2009-12-08 13:46:00,2010-09-27 16:18:00,438,9,22710.2,30,3,2523.355555555556,293,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
15808,2009-12-01 16:30:00,2011-02-06 14:33:00,306,21,18409.93,348,14,876.6633333333333,431,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
13027,2010-01-20 10:41:00,2011-08-18 09:39:00,114,19,17335.2,7,14,912.3789473684211,574,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
13564,2009-12-02 11:55:00,2011-07-18 14:33:00,144,37,17249.55,484,14,466.20405405405404,593,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
16553,2010-02-11 18:46:00,2011-06-29 15:42:00,163,33,16644.01,195,12,504.36393939393935,502,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
16180,2010-06-23 13:19:00,2011-08-31 16:28:00,100,13,16249.87,171,8,1249.99,434,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
12980,2009-12-02 11:26:00,2011-07-05 09:34:00,158,21,16245.78,7,18,773.6085714285715,579,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
15768,2009-12-03 12:10:00,2011-08-16 10:48:00,116,34,15601.09,437,12,458.85558823529414,620,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
18087,2009-12-01 09:43:00,2011-09-02 15:12:00,98,17,14761.519999999999,44,10,868.3247058823529,640,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
17448,2010-03-04 17:29:00,2010-07-30 14:07:00,497,46,14556.97,569,5,316.45586956521737,147,1,5,5,155,Cannot Lose Them,1,Inactive / Churn Risk
15760,2010-03-19 11:35:00,2010-03-19 11:45:00,631,2,13916.34,1,1,6958.17,0,1,2,5,125,At Risk,1,Inactive / Churn Risk
15032,2009-12-10 15:27:00,2011-03-28 15:03:00,256,8,13780.65,39,7,1722.58125,472,2,4,5,245,Cannot Lose Them,1,Inactive / Churn Risk
13952,2009-12-16 09:41:00,2011-05-06 09:00:00,218,14,12823.521,238,10,915.9657857142857,505,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
13687,2010-09-27 16:30:00,2010-09-27 16:30:00,438,1,11880.84,45,1,11880.84,0,1,1,5,115,At Risk,1,Inactive / Churn Risk
14016,2010-01-08 14:12:00,2011-07-01 11:29:00,162,11,11403.41,354,11,1036.6736363636364,538,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
14045,2010-01-08 10:08:00,2011-08-22 15:27:00,109,16,11313.029999999999,16,10,707.0643749999999,591,3,5,5,355,Loyal Customers,1,Inactive / Churn Risk
14134,2009-12-10 09:25:00,2010-11-22 12:26:00,383,15,11123.35,130,9,741.5566666666667,347,2,5,5,255,Cannot Lose Them,1,Inactive / Churn Risk
12918,2010-03-23 15:22:00,2010-03-23 15:22:00,626,1,10953.5,1,1,10953.5,0,1,1,5,115,At Risk,1,Inactive / Churn Risk
