stock_code,description,total_revenue,units_sold,orders,customers
22423,REGENCY CAKESTAND 3 TIER,344563.25,27577,3918,1314
M,Manual,340716.28,10050,784,438
DOT,DOTCOM POSTAGE,322657.48,1436,1415,1
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262931.16,96086,5356,1490
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1
47566,PARTY BUNTING,149187.05000000002,28378,2674,894
85099B,JUMBO BAG RED RETROSPOT,148823.92,78860,3245,860
84879,ASSORTED COLOUR BIRD ORNAMENT,132187.91999999998,81809,2807,1010
POST,POSTAGE,127597.42,5461,1851,405
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123141.54000000001,36581,2018,896
79321,CHILLI LIGHTS,85489.91,16840,1135,304
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92,32525,756,300
21137,BLACK RECORD COVER FRAME,69329.47,19954,634,198
85099F,JUMBO BAG STRAWBERRY,68488.81,37124,1830,549
23084,RABBIT NIGHT LIGHT,66964.99,30788,994,450
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63517.75,12462,1583,626
82484,WOOD BLACK BOARD ANT WHITE FINISH,62842.02,11054,1176,451
21931,JUMBO STORAGE BAG SUKI,62285.28,29503,2329,546
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,61721.990000000005,19597,1427,701
22112,CHOCOLATE HOT WATER BOTTLE,60763.12,11556,1721,631
21621,VINTAGE UNION JACK BUNTING,60668.54,6945,1292,583
85099C,JUMBO  BAG BAROQUE BLACK WHITE,60292.32,31249,1868,506
15056N,EDWARDIAN PARASOL NATURAL,58427.590000000004,11370,1033,347
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,58275.45,27732,2192,658
22470,HEART OF WICKER LARGE,55898.87,18551,1952,827
22189,CREAM HEART CARD HOLDER,54598.73,18363,1299,536
22178,VICTORIAN GLASS HANGING T-LIGHT,53330.49,40748,1816,593
22111,SCOTTIE DOG HOT WATER BOTTLE,52192.310000000005,10218,1689,717
21623,VINTAGE UNION JACK MEMOBOARD,52122.729999999996,7200,530,311
21733,RED HANGING HEART T-LIGHT HOLDER,51556.97,17999,1760,744
22469,HEART OF WICKER SMALL,51127.759999999995,29037,2151,886
22386,JUMBO BAG PINK POLKADOT,50847.8,25627,1443,432
21929,JUMBO BAG PINK VINTAGE PAISLEY,50334.1,25954,1619,504
21843,RED RETROSPOT CAKE STAND,50016.439999999995,4772,1187,502
21731,RED TOADSTOOL LED NIGHT LIGHT,49539.689999999995,29715,1537,415
22457,NATURAL SLATE HEART CHALKBOARD,48671.05,15771,2046,874
21232,STRAWBERRY CERAMIC TRINKET BOX,48626.76,37610,2310,683
15056BL,EDWARDIAN PARASOL BLACK,48101.89,9646,857,321
